"subId","estimatedValue","debtAmount","independentValuation","longitude","latitude","maxBid"
"SUB-JA-2020-143015",451450,103263.56,0,-3.6978264,40.36722760000001,135435
"SUB-JA-2020-143020",153000,171794.12,0,-4.6855945,36.499864,201960
"SUB-JA-2020-143024",1601529.63,1100430.53,0,1.5281253,38.9855307,1761682.45
"SUB-JA-2020-143055",286336.17,186687.39,0,-0.4333706000000001,39.1511421,0
"SUB-JA-2020-143057",9700.12,107728.08,0,-6.8887202,37.1933117,8730
"SUB-JA-2020-143066",62750,41972.26,0,-16.3154764,28.4907183,81575
"SUB-JA-2020-143084",205000,80249.5,205000,-3.0926899,43.3505098,94300
"SUB-JA-2020-143091",451599.88,130223.82,0,-0.03031979999999999,39.9837973,0
"SUB-JA-2020-143101",2750,3330.74,0,-4.588239199999999,36.5807015,1375
"SUB-JA-2020-143104",379850.37,101075.74,0,-0.1448182,38.5637027,136746
"SUB-JA-2020-143105",137071,142982.76,0,-0.3979657,39.4798873,30500
"SUB-JA-2020-143107",20000,19997.91,20000,-5.9304039,37.1811384,28800
"SUB-JA-2020-143119",153264,159917.09,0,1.100535,41.1537645,76632
"SUB-JA-2020-143120",258930,414376.22,0,-6.126192500000001,37.389691,170893.8
"SUB-JA-2020-143138",274755,176008.98,0,-3.4548833,43.3690913,137378
"SUB-JA-2020-143152",211577,6961,0,-2.9001212,43.2565916,22200.02
"SUB-JA-2020-143155",115453.51,39570.09,0,-0.4195876,39.4779243,53108.61
"SUB-JA-2020-143169",107500,78419.78,0,-8.6325611,42.8636229,0
"SUB-JA-2020-143175",565618.17,241731.24,565618.17,-5.018246,38.1674456,248871.92
